Brand,Model,Car_Type,Year,Age_Years,Transmission,Fuel_Type,No_of_Owners,KM_Driven,Price_USD
Toyota,Tacoma,Truck,2023,3,Manual,Petrol,1,58555,18500
Honda,Civic,Sedan,2020,6,Automatic,Petrol,3,75171,11070
Kia,Carnival,Minivan,2024,2,Manual,Hybrid,1,18461,23520
Mazda,Mazda3,Sedan,2023,3,Automatic,Petrol,1,52561,14590
Tesla,Model S,Sedan,2016,10,Automatic,Electric,3,178631,19460
Volkswagen,Jetta,Sedan,2022,4,CVT,Diesel,2,57052,11500
Chevrolet,Camaro,Coupe,2024,2,Manual,Petrol,1,19512,22710
Chevrolet,Camaro,Coupe,2025,1,Manual,Petrol,1,16443,25190
Audi,A5,Coupe,2022,4,Manual,Petrol,2,30095,27000
Hyundai,Tucson,SUV,2011,15,Automatic,Petrol,5,260717,2090
Chevrolet,Camaro,Coupe,2022,4,Automatic,Petrol,2,81621,18030
Chevrolet,Camaro,Coupe,2018,8,Manual,Hybrid,2,77546,12470
Kia,Rio,Hatchback,2021,5,Manual,CNG,1,77902,7490
Ford,Mustang Convertible,Convertible,2015,11,Semi-Automatic,Petrol,1,169909,11160
Kia,Carnival,Minivan,2016,10,Automatic,Petrol,1,98307,11270
Ford,Fusion,Sedan,2024,2,CVT,Petrol,1,52672,16590
Jeep,Grand Cherokee,SUV,2022,4,Manual,CNG,2,32222,19770
Volkswagen,Golf,Hatchback,2025,1,Manual,Petrol,1,24414,19580
Toyota,Yaris,Sedan,2016,10,Manual,Petrol,4,114205,4770
Nissan,Rogue,SUV,2019,7,Manual,Petrol,3,65079,10530
Lexus,IS,Sedan,2024,2,Automatic,Petrol,1,31451,29860
Hyundai,Elantra,Sedan,2026,0,Automatic,Petrol,1,500,20150
Jeep,Grand Cherokee,SUV,2026,0,Automatic,Hybrid,1,500,43140
Honda,Odyssey,Minivan,2024,2,Manual,Petrol,1,14739,24060
Hyundai,Elantra,Sedan,2016,10,Automatic,Petrol,2,96859,6350
Hyundai,Ioniq 5,SUV,2024,2,Automatic,Electric,1,19418,30570
Peugeot,208,Hatchback,2019,7,Automatic,Hybrid,1,58809,9460
Kia,K5,Sedan,2020,6,Manual,Petrol,1,45333,12050
Toyota,Prius,Hatchback,2022,4,Automatic,Hybrid,2,87436,15710
Nissan,Versa,Hatchback,2016,10,Automatic,Hybrid,3,70412,5250
Audi,A5,Coupe,2016,10,Manual,Petrol,4,156030,12770
Nissan,Sentra,Sedan,2020,6,Manual,Petrol,2,61655,8690
Toyota,Prius Prime,Hatchback,2022,4,Automatic,Petrol,1,34783,19160
Nissan,Sentra,Sedan,2023,3,Automatic,Hybrid,1,40524,14750
Honda,Fit,Hatchback,2017,9,Semi-Automatic,Hybrid,4,99247,5830
Hyundai,Ioniq 5,SUV,2023,3,Automatic,Electric,1,36371,26210
Tesla,Model 3,Sedan,2022,4,Automatic,Electric,1,51673,22010
Chevrolet,Camaro Convertible,Convertible,2022,4,Manual,Petrol,2,53531,23140
Kia,Rio,Hatchback,2022,4,Automatic,Petrol,2,76585,9080
Nissan,Sentra,Sedan,2015,11,Automatic,Diesel,2,93851,5430
Nissan,Leaf,Hatchback,2015,11,Automatic,Electric,3,154706,6430
Honda,Ridgeline,Truck,2015,11,Manual,Hybrid,3,187684,9680
GMC,Acadia,SUV,2022,4,Automatic,Petrol,1,72236,21790
Fiat,500,Hatchback,2022,4,Manual,Petrol,1,51151,10220
Mazda,CX-5,SUV,2021,5,Manual,Petrol,1,76665,14840
Ford,Mustang Mach-E,SUV,2018,8,Automatic,Electric,1,108898,16530
Land Rover,Range Rover Sport,SUV,2021,5,CVT,Petrol,2,113611,40940
Ford,F-150,Truck,2022,4,CVT,Diesel,2,90189,18660
Toyota,Tacoma,Truck,2021,5,Manual,Petrol,1,39787,15490
Audi,Q7,SUV,2022,4,Automatic,Petrol,1,43696,35520
Honda,City,Sedan,2018,8,Automatic,Diesel,3,96168,6630
Nissan,Versa,Hatchback,2014,12,CVT,Diesel,4,212653,1340
Suzuki,Swift,Hatchback,2022,4,Automatic,Petrol,2,86350,7320
Honda,Insight,Sedan,2026,0,Automatic,Hybrid,1,500,23940
Toyota,RAV4,SUV,2023,3,CVT,Hybrid,2,23509,20990
Honda,Pilot,SUV,2013,13,Automatic,Petrol,1,305733,5530
Ford,Fusion,Sedan,2014,12,Automatic,Petrol,4,243103,3620
Subaru,Legacy,Sedan,2023,3,Automatic,Diesel,1,61149,15910
Skoda,Octavia,Sedan,2020,6,Manual,Petrol,1,84139,11660
Lexus,RX,SUV,2022,4,Automatic,Diesel,2,43641,27290
Hyundai,Santa Fe,SUV,2017,9,Manual,CNG,2,147326,8980
Audi,Q5,SUV,2017,9,Automatic,Diesel,3,89919,14960
BMW,Z4,Convertible,2022,4,Manual,Petrol,1,49665,29010
Mini,Cooper,Hatchback,2023,3,Manual,Hybrid,1,33161,17820
Honda,Fit,Hatchback,2021,5,Manual,Diesel,1,38955,8840
Mazda,CX-5,SUV,2011,15,Automatic,Petrol,5,220346,3990
Lexus,IS,Sedan,2014,12,Manual,Petrol,2,158725,9780
GMC,Terrain,SUV,2024,2,Automatic,Petrol,1,21836,20770
Hyundai,Elantra,Sedan,2024,2,Manual,Petrol,1,12352,14920
Hyundai,Elantra,Sedan,2025,1,CVT,Petrol,1,8839,16630
Lexus,RX,SUV,2023,3,Automatic,Hybrid,2,57942,31740
Kia,Sportage,SUV,2022,4,Automatic,Petrol,1,74890,14990
Nissan,Titan,Truck,2020,6,Automatic,Petrol,1,52031,16910
