Car_ID,Age_Years,Mileage_KM,Original_Price_USD,Current_Price_USD
CAR0001,5.62,47410,34260.95,16677.05
CAR0002,14.26,201804,17524.2,907.34
CAR0003,10.98,126352,19848.86,1000.74
CAR0004,8.98,120684,41956.63,2097.83
CAR0005,2.34,22304,33192.87,25831.87
CAR0006,2.34,29794,15275.91,11674.67
CAR0007,0.87,15238,18044.15,16213.34
CAR0008,12.99,105033,34905.05,1745.25
CAR0009,9.02,127180,15151.85,757.59
CAR0010,10.62,92398,19824.24,991.21
CAR0011,0.31,2823,31462.01,29908.66
CAR0012,14.55,212481,35756.86,1902.01
CAR0013,12.49,184825,34558.84,1727.94
CAR0014,3.19,40538,21728.08,15698.3
CAR0015,2.73,32290,36365.38,23597.44
CAR0016,2.75,28917,22117.47,16819.35
CAR0017,4.56,45051,24761.99,14001.92
CAR0018,7.87,74174,37394.74,2741.66
CAR0019,6.48,77789,34488.99,9857.13
CAR0020,4.37,62055,40476.7,21441.5
CAR0021,9.18,129212,34728.39,1736.42
CAR0022,2.09,27558,32049.26,24703.82
CAR0023,4.38,39585,17810.24,9213.1
CAR0024,5.5,63917,26031.47,12175.3
CAR0025,6.84,66721,22956.07,6607.67
CAR0026,11.78,142885,22319.69,1967.41
CAR0027,3.0,32834,44190.32,31926.44
CAR0028,7.71,106773,26792.93,2784.37
CAR0029,8.89,88099,41761.4,2088.07
CAR0030,0.7,6755,33934.16,32251.73
CAR0031,9.11,79758,38844.34,1942.22
CAR0032,2.56,29831,30079.11,23105.73
CAR0033,0.98,10089,32307.12,29127.58
CAR0034,14.23,120697,29775.53,1488.78
CAR0035,14.48,129465,20857.29,1487.73
CAR0036,12.13,159152,36673.56,2322.46
CAR0037,4.57,38857,23423.17,12173.85
CAR0038,1.47,24589,15729.48,14012.11
CAR0039,10.26,133080,34364.17,1718.21
CAR0040,6.6,53994,20313.32,6342.96
CAR0041,1.83,20301,43213.76,36344.99
CAR0042,7.43,112337,43617.86,6947.17
CAR0043,0.52,2366,42445.93,40911.12
CAR0044,13.64,143936,26104.76,1305.24
CAR0045,3.88,50512,15463.7,9692.68
CAR0046,9.94,141249,42849.56,2142.48
CAR0047,4.68,72455,27845.52,13544.31
CAR0048,7.8,109276,43999.64,6939.55
CAR0049,8.2,83009,43908.6,3122.44
CAR0050,2.77,25492,40590.28,27802.68
CAR0051,14.54,193517,23833.47,1191.67
CAR0052,11.63,137002,26552.93,1810.39
CAR0053,14.09,152811,40534.1,2026.71
CAR0054,13.42,189946,24507.66,2515.56
CAR0055,8.97,78874,20084.78,1004.24
CAR0056,13.83,155817,31704.04,3198.74
CAR0057,1.33,11536,43084.64,37994.12
CAR0058,2.94,33011,35880.89,25242.79
CAR0059,0.68,4978,32101.84,29595.5
CAR0060,4.88,40376,17915.29,9093.56
CAR0061,5.83,49707,33450.22,12820.35
CAR0062,4.07,53325,44701.62,27293.66
CAR0063,12.43,165870,19202.52,1025.93
CAR0064,5.35,61730,30549.89,13348.62
CAR0065,4.21,62392,41321.19,22583.31
CAR0066,8.14,88739,37223.06,3528.14
CAR0067,2.11,16130,35910.47,28979.19
CAR0068,12.03,171056,36074.52,1803.73
CAR0069,1.12,8708,25784.73,22070.16
CAR0070,14.8,219950,23807.76,1721.25
CAR0071,11.58,91365,39280.83,2165.39
CAR0072,2.98,38668,39303.4,27271.27
CAR0073,0.08,0,41012.17,40745.11
CAR0074,12.23,174302,42397.22,2561.96
CAR0075,10.6,124768,30340.27,1517.01
CAR0076,10.94,160775,30045.49,1502.27
CAR0077,11.57,100445,38948.86,2176.28
CAR0078,1.11,8207,34498.92,29944.55
CAR0079,5.38,79301,36059.01,15614.14
CAR0080,1.74,16635,38873.78,30435.41
CAR0081,12.95,158657,41700.16,3372.49
CAR0082,9.35,120472,25139.85,1613.42
CAR0083,4.96,52919,26267.49,12812.59
CAR0084,0.95,10661,17819.46,16750.93
CAR0085,4.66,59416,32348.4,18107.82
CAR0086,4.88,68061,16078.27,8239.23
CAR0087,10.94,93541,28967.94,1448.4
CAR0088,9.56,91926,31279.34,1563.97
CAR0089,13.31,196593,23596.24,1179.81
CAR0090,7.08,105132,32725.0,6976.51
CAR0091,1.79,12658,15915.01,13466.44
CAR0092,10.7,129641,16120.45,806.02
CAR0093,11.41,115183,39678.02,2206.22
CAR0094,8.42,77831,25805.72,1290.29
CAR0095,11.56,131167,18811.82,940.59
CAR0096,7.41,75764,30667.3,4510.33
CAR0097,7.84,95023,38099.81,3847.01
CAR0098,6.41,54328,21474.63,5902.81
CAR0099,0.38,9154,33686.71,31437.62
CAR0100,1.62,24883,17560.42,15329.34
CAR0101,0.47,7088,16550.45,15344.53
CAR0102,9.55,110957,30940.64,3990.46
CAR0103,4.72,46477,31219.05,16406.17
CAR0104,7.63,103187,34122.9,5292.96
CAR0105,13.61,175342,36782.74,1839.14
CAR0106,3.74,32909,44275.56,28515.3
CAR0107,6.16,89367,30489.01,9456.9
CAR0108,11.33,162147,24688.69,1324.8
CAR0109,3.43,52887,38855.59,28064.13
CAR0110,1.15,14125,23124.97,20521.66
CAR0111,4.35,57036,28169.14,16345.53
CAR0112,2.42,25202,17353.69,12876.0
CAR0113,13.95,196501,15760.52,788.03
CAR0114,12.12,167438,43879.45,4525.03
CAR0115,9.5,73403,40079.4,2003.97
CAR0116,13.07,105933,35879.23,3744.84
CAR0117,12.06,128264,27268.59,1942.41
CAR0118,2.8,43296,20198.83,14115.34
CAR0119,13.39,200614,19693.11,1358.28
CAR0120,8.09,72582,22507.29,3144.01
CAR0121,12.11,149752,31476.8,2161.02
CAR0122,13.44,136735,36437.88,1821.89
CAR0123,4.77,71253,34805.92,16375.92
CAR0124,1.65,25250,23398.02,19435.22
CAR0125,3.42,42980,43645.96,28349.86
CAR0126,6.41,75703,37136.91,12036.24
CAR0127,12.27,134807,31630.62,1750.15
CAR0128,12.91,126751,33351.62,1667.58
CAR0129,0.1,2774,27588.0,27588.0
CAR0130,7.66,114475,22431.93,3553.39
CAR0131,6.26,86263,25679.18,8569.39
CAR0132,3.33,50712,37735.38,26017.36
CAR0133,1.8,25549,15431.8,13098.48
CAR0134,5.06,57654,18482.18,8877.21
CAR0135,14.14,191774,16380.08,819.0
CAR0136,4.85,68278,16221.86,7062.34
CAR0137,7.78,108752,40663.82,5760.17
CAR0138,10.55,101188,36109.74,2030.47
CAR0139,5.45,62275,29225.21,12529.63
CAR0140,14.58,130794,17935.02,896.75
CAR0141,14.44,215020,29748.48,1487.42
CAR0142,3.78,44709,29204.15,18829.64
CAR0143,7.46,70798,20196.06,3726.22
CAR0144,4.51,54390,28015.55,15390.93
CAR0145,4.27,51335,26955.14,15026.87
CAR0146,0.55,6946,33475.5,31779.56
CAR0147,9.14,82687,34052.81,2661.18
CAR0148,7.54,93001,16359.12,2446.59
CAR0149,0.77,11599,26238.38,24386.4
CAR0150,4.18,60101,33775.8,18523.48
CAR0151,13.62,159839,30094.09,1504.7
CAR0152,3.59,55814,40694.7,25139.16
CAR0153,2.17,23463,34760.81,27631.04
CAR0154,7.34,83828,19888.03,3550.07
CAR0155,14.78,203670,17117.06,1500.7
CAR0156,3.63,43790,34272.58,20640.66
CAR0157,10.08,92077,15795.34,789.77
CAR0158,11.42,93529,32573.27,1628.66
CAR0159,3.56,48199,43206.91,29263.43
CAR0160,10.92,131440,32264.23,1803.46
CAR0161,5.52,78661,26645.1,11626.02
CAR0162,9.48,90404,34298.65,1714.93
CAR0163,9.5,85423,28747.59,1667.69
CAR0164,8.04,67288,31368.5,4584.95
CAR0165,1.35,15602,43243.94,37770.41
CAR0166,12.53,152648,26583.08,2178.87
CAR0167,4.81,49334,43835.72,21179.43
CAR0168,2.8,32364,42160.52,32190.34
CAR0169,0.61,14410,20873.73,20873.73
CAR0170,8.86,96550,17080.84,854.04
CAR0171,10.16,122655,18023.34,901.17
CAR0172,0.25,1822,15546.65,15546.65
CAR0173,7.68,79804,17833.29,3610.18
CAR0174,3.4,41597,35490.2,22679.68
CAR0175,9.68,136007,17135.66,856.78
CAR0176,2.62,41591,24569.27,17852.97
CAR0177,10.36,88505,40346.26,2017.31
CAR0178,5.8,88623,15698.16,5348.13
CAR0179,14.05,160336,39434.05,1971.7
CAR0180,2.06,18951,23455.64,18255.8
CAR0181,5.12,54334,18544.94,8556.53
CAR0182,1.7,20329,35902.11,30252.37
CAR0183,13.87,161262,33868.29,3268.8
CAR0184,13.16,135785,41324.16,2066.21
CAR0185,3.87,44238,37052.13,23457.34
CAR0186,9.9,91955,39104.43,1955.22
CAR0187,12.26,103569,23461.04,1173.05
CAR0188,8.33,79144,20323.19,2019.26
CAR0189,7.94,69900,37518.44,3576.35
CAR0190,3.63,28370,39205.04,25428.07
CAR0191,1.4,11792,44715.15,39076.22
CAR0192,13.46,167223,27378.53,1773.4
CAR0193,13.51,117155,26160.54,1534.97
CAR0194,9.5,98788,38292.39,4735.2
CAR0195,5.09,71915,25224.11,11045.98
CAR0196,5.24,61373,42922.72,18429.09
CAR0197,10.89,143546,40752.38,2037.62
CAR0198,13.46,127265,27869.82,1393.49
CAR0199,13.31,123554,37526.13,1876.31
CAR0200,11.7,93612,37636.29,3224.32
